"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.901995884E2,-8.322692871E-1,9.640702057E0,-1.322649536E0
4.902196764E2,-8.454418945E-1,9.613009644E0,-1.329086151E0
4.902397634E2,-8.765771484E-1,9.612261200E0,-1.280137939E0
4.902598514E2,-8.993298340E-1,9.653425598E0,-1.230740662E0
4.902799394E2,-9.098080444E-1,9.655072174E0,-1.219813385E0
4.903000264E2,-8.879534912E-1,9.664053497E0,-1.229992218E0
4.903201144E2,-8.863069153E-1,9.672885132E0,-1.261127472E0
4.903402024E2,-9.171427917E-1,9.642348633E0,-1.308578796E0
4.903602894E2,-9.572593689E-1,9.627080383E0,-1.344653778E0
4.903803774E2,-9.755213928E-1,9.592352600E0,-1.318009186E0
4.904004644E2,-9.997709656E-1,9.620344391E0,-1.319805450E0
4.904205524E2,-1.040785675E0,9.635462952E0,-1.272354126E0
4.904406404E2,-1.031954041E0,9.654174042E0,-1.253193970E0
4.904607274E2,-9.930349731E-1,9.643995209E0,-1.254840546E0
4.904808154E2,-9.493258667E-1,9.625433807E0,-1.226399689E0
4.905009034E2,-9.020242310E-1,9.635163574E0,-1.208886108E0
4.905209904E2,-8.524772644E-1,9.662257233E0,-1.224603424E0
4.905410784E2,-8.198451233E-1,9.649533691E0,-1.215023346E0
4.905611654E2,-8.416996765E-1,9.623936920E0,-1.232387238E0
4.905812534E2,-8.460406494E-1,9.644144897E0,-1.231788483E0
4.906013414E2,-8.975335693E-1,9.678722992E0,-1.180594940E0
4.906214284E2,-9.427395630E-1,9.678722992E0,-1.140927429E0
4.906415164E2,-9.541159058E-1,9.665251007E0,-1.049317932E0
4.906616044E2,-9.831555176E-1,9.717642059E0,-9.789642334E-1
4.906816914E2,-9.391470337E-1,9.616751862E0,-1.135239258E0
4.907017807E2,-8.629554749E-1,9.665550385E0,-1.326391754E0
4.907218677E2,-8.183482361E-1,9.673184509E0,-1.278940430E0
4.907419557E2,-8.068222046E-1,9.577234039E0,-1.303639069E0
4.907620437E2,-7.589218140E-1,9.676178284E0,-1.234333191E0
4.907821307E2,-7.846682739E-1,9.664801941E0,-1.196761322E0
4.908022187E2,-7.688012695E-1,9.568252716E0,-1.151106262E0
4.908223057E2,-7.978408813E-1,9.532477112E0,-1.149160309E0
4.908423937E2,-7.622149658E-1,9.578730927E0,-1.280587006E0
4.908624817E2,-7.619155884E-1,9.670340424E0,-1.286125488E0
4.908825687E2,-6.953041077E-1,9.720486145E0,-1.169967041E0
4.909026567E2,-8.023315430E-1,9.604627075E0,-9.943821716E-1
4.909227447E2,-7.111711121E-1,9.681567078E0,-1.136137390E0
4.909428317E2,-7.601193237E-1,9.711804199E0,-1.018182678E0
4.909629197E2,-7.767347717E-1,9.664203186E0,-9.912387085E-1
4.909830067E2,-7.891589355E-1,9.777218170E0,-1.064885559E0
4.910030947E2,-8.328680420E-1,9.741292877E0,-1.062789917E0
4.910231827E2,-8.613088989E-1,9.647887115E0,-1.110091553E0
4.910432697E2,-8.590635681E-1,9.671537933E0,-1.061293030E0
4.910633577E2,-8.077203369E-1,9.623338165E0,-1.132694550E0
4.910834457E2,-8.012837219E-1,9.646839294E0,-1.085991669E0
4.911035327E2,-7.923023987E-1,9.707014160E0,-1.043629761E0
4.911236207E2,-7.943980408E-1,9.661658478E0,-9.756710815E-1
4.911437077E2,-7.987390137E-1,9.629625092E0,-1.031205597E0
4.911637957E2,-7.403604126E-1,9.648036804E0,-1.067430267E0
4.911838837E2,-7.613168335E-1,9.619296570E0,-1.087189178E0
4.912039707E2,-7.945477295E-1,9.658664703E0,-1.129850464E0
4.912240587E2,-8.629554749E-1,9.698930969E0,-1.047521667E0
4.912441467E2,-8.390052795E-1,9.644144897E0,-1.051114197E0
4.912642337E2,-7.915539551E-1,9.677226105E0,-1.051862640E0
4.912843217E2,-7.424560547E-1,9.681567078E0,-1.122066650E0
4.913044087E2,-7.774832153E-1,9.692194977E0,-1.070424042E0
4.913244967E2,-7.800279236E-1,9.676627350E0,-1.033001862E0
4.913445847E2,-7.640112305E-1,9.687704315E0,-1.099313965E0
4.913646717E2,-8.027806091E-1,9.638456726E0,-1.069974976E0
4.913847597E2,-8.744815063E-1,9.693991241E0,-9.604028320E-1
4.914048467E2,-9.457333374E-1,9.729916534E0,-1.079854431E0
4.914249347E2,-9.749226379E-1,9.749076691E0,-1.040037231E0
4.914450227E2,-9.936337280E-1,9.680519257E0,-1.126257935E0
4.914651097E2,-9.122030640E-1,9.588460693E0,-1.077309723E0
4.914851977E2,-8.397537231E-1,9.565857697E0,-1.044976959E0
4.915052857E2,-8.411009216E-1,9.621990967E0,-1.099613342E0
4.915253727E2,-8.620573425E-1,9.640402679E0,-1.117875366E0
4.915454607E2,-8.433462524E-1,9.650581512E0,-1.107097778E0
4.915655477E2,-7.882608032E-1,9.657317505E0,-1.130748596E0
4.915856357E2,-8.367599487E-1,9.649683380E0,-1.121767273E0
4.916057237E2,-9.086105347E-1,9.701924744E0,-1.208137665E0
4.916258107E2,-1.001267853E0,9.674531708E0,-1.271306305E0
4.916458987E2,-1.085243225E0,9.592951355E0,-1.271755371E0
4.916659867E2,-1.165177002E0,9.535171509E0,-1.179397430E0
4.916860737E2,-1.169218597E0,9.598938904E0,-1.151405640E0
4.917061599E2,-1.067729645E0,9.699679413E0,-1.074765015E0
4.917262469E2,-8.957373047E-1,9.709259491E0,-1.085542603E0
4.917463349E2,-7.908055115E-1,9.665550385E0,-1.128353577E0
4.917664229E2,-7.488926697E-1,9.598489838E0,-1.273701324E0
4.917865099E2,-7.171586609E-1,9.635612640E0,-1.279988251E0
4.918065979E2,-7.607180786E-1,9.694290619E0,-1.245110779E0
4.918266859E2,-8.246351624E-1,9.710606689E0,-1.104104004E0
4.918467729E2,-8.223898315E-1,9.669292603E0,-1.193917236E0
4.918668609E2,-8.451425171E-1,9.614356842E0,-1.216520233E0
4.918869479E2,-8.387059021E-1,9.598190460E0,-1.240171051E0
4.919070359E2,-8.382568359E-1,9.658515015E0,-1.258882141E0
4.919271239E2,-8.119116211E-1,9.698481903E0,-1.257534943E0
4.919472109E2,-8.020321655E-1,9.676777039E0,-1.293909302E0
4.919672989E2,-7.870632935E-1,9.620643768E0,-1.272653503E0
4.919873859E2,-8.011340332E-1,9.533674622E0,-1.263971558E0
4.920074739E2,-7.445516968E-1,9.545500031E0,-1.225800934E0
4.920275619E2,-7.837701416E-1,9.659712524E0,-1.208437042E0
4.920476489E2,-8.695417786E-1,9.745484161E0,-1.140777740E0
4.920677369E2,-9.336085510E-1,9.777068481E0,-1.058299255E0
4.920878249E2,-8.608598328E-1,9.706565094E0,-1.035995636E0
4.921079119E2,-8.131091309E-1,9.629475403E0,-1.048868866E0
4.921279999E2,-8.246351624E-1,9.619895325E0,-1.055455170E0
4.921480869E2,-8.116122437E-1,9.645192719E0,-1.156644745E0
4.921681749E2,-7.982899475E-1,9.668693848E0,-1.243464203E0
4.921882629E2,-8.054750061E-1,9.688901825E0,-1.202599182E0
4.922083499E2,-8.258326721E-1,9.663604431E0,-1.204245758E0
4.922284379E2,-8.346643066E-1,9.640103302E0,-1.169817352E0
4.922485259E2,-8.405021667E-1,9.664502563E0,-1.083746338E0
4.922686129E2,-8.478369141E-1,9.681716766E0,-1.131646729E0
4.922887009E2,-8.695417786E-1,9.664203186E0,-1.164578247E0
4.923087879E2,-9.292675781E-1,9.664951630E0,-1.163231049E0
4.923288759E2,-9.508227539E-1,9.652527466E0,-1.215771790E0
4.923489639E2,-1.028211823E0,9.622440033E0,-1.216071167E0
4.923690509E2,-9.972262573E-1,9.605076141E0,-1.162931671E0
4.923891389E2,-9.424401855E-1,9.630523224E0,-1.167721710E0
4.924092269E2,-8.991801453E-1,9.607620850E0,-1.156045990E0
4.924293139E2,-8.903485107E-1,9.636361084E0,-1.198258209E0
4.924494019E2,-8.575666809E-1,9.662257233E0,-1.183588715E0
4.924694889E2,-8.469387817E-1,9.676627350E0,-1.135388947E0
4.924895769E2,-8.357121277E-1,9.660161591E0,-1.121617584E0
4.925096649E2,-8.394543457E-1,9.661209412E0,-1.176403656E0
4.925297519E2,-8.869056702E-1,9.645043030E0,-1.145567780E0
4.925498399E2,-8.984317017E-1,9.642498322E0,-1.131047974E0
4.925699269E2,-9.111552429E-1,9.624086609E0,-1.171314240E0
4.925900149E2,-9.129515076E-1,9.619296570E0,-1.199156342E0
4.926101029E2,-9.009764099E-1,9.635612640E0,-1.201401672E0
4.926301899E2,-9.041198730E-1,9.673334198E0,-1.187330933E0
4.926502779E2,-9.087602234E-1,9.685458984E0,-1.228046265E0
4.926703659E2,-9.047186279E-1,9.648934937E0,-1.272204437E0
4.926904529E2,-9.192384338E-1,9.579179993E0,-1.269809418E0
4.927105409E2,-9.614506531E-1,9.607321472E0,-1.234632568E0
4.927306279E2,-9.949809265E-1,9.681716766E0,-1.255139923E0
4.927507159E2,-1.040635986E0,9.671388245E0,-1.265318756E0
4.927708039E2,-1.087937622E0,9.616901550E0,-1.273401947E0
4.927908909E2,-1.106948090E0,9.654922485E0,-1.316961365E0
4.928109789E2,-1.058598633E0,9.610165558E0,-1.355431366E0
4.928310669E2,-1.014290771E0,9.580078125E0,-1.320104828E0
4.928511539E2,-9.801617432E-1,9.573042755E0,-1.271455994E0
4.928712419E2,-9.282197571E-1,9.619146881E0,-1.284927979E0
4.928913289E2,-9.280700684E-1,9.638905792E0,-1.288819885E0
4.929114169E2,-9.614506531E-1,9.633516998E0,-1.295855255E0
4.929315049E2,-9.862989807E-1,9.654922485E0,-1.276994476E0
4.929515919E2,-9.795629883E-1,9.647438049E0,-1.271156616E0
4.929716799E2,-9.846524048E-1,9.634864197E0,-1.298549652E0
4.929917669E2,-9.987231445E-1,9.625284119E0,-1.279988251E0
4.930118549E2,-9.909393311E-1,9.593550110E0,-1.286724243E0
4.930319429E2,-9.897418213E-1,9.593250732E0,-1.315763855E0
4.930520299E2,-9.849517822E-1,9.621242523E0,-1.293310547E0
4.930721179E2,-9.909393311E-1,9.676028595E0,-1.291065216E0
4.930922059E2,-1.001866608E0,9.678573303E0,-1.274000702E0
4.931122929E2,-9.803114319E-1,9.639055481E0,-1.252744904E0
4.931323809E2,-9.377998352E-1,9.582173767E0,-1.255439301E0
4.931524679E2,-9.157955933E-1,9.587113495E0,-1.220861206E0
4.931725559E2,-8.878038025E-1,9.610315247E0,-1.246757355E0
4.931926439E2,-9.021739197E-1,9.694589996E0,-1.266516266E0
4.932127309E2,-9.319619751E-1,9.679770813E0,-1.239572296E0
4.932328189E2,-9.647438049E-1,9.655072174E0,-1.265618134E0
4.932529069E2,-1.016685791E0,9.631121979E0,-1.227447510E0
4.932729939E2,-1.044827271E0,9.630373535E0,-1.213825836E0
4.932930819E2,-1.079704742E0,9.669292603E0,-1.253493347E0
4.933131689E2,-1.068029022E0,9.607620850E0,-1.276994476E0
4.933332569E2,-1.064735870E0,9.541907501E0,-1.279688873E0
4.933533449E2,-1.024918671E0,9.583970032E0,-1.193318481E0
4.933734319E2,-1.005608826E0,9.661059723E0,-1.210682373E0
4.933935199E2,-9.623487854E-1,9.681118011E0,-1.239272919E0
4.934136069E2,-9.433383179E-1,9.661209412E0,-1.266067200E0
4.934336949E2,-9.060658264E-1,9.623637543E0,-1.245859222E0
4.934537829E2,-9.659413147E-1,9.594148865E0,-1.255439301E0
4.934738699E2,-1.022224274E0,9.636810150E0,-1.218765564E0
4.934939579E2,-1.034947815E0,9.638905792E0,-1.228495331E0
4.935140459E2,-1.034498749E0,9.622290344E0,-1.237626343E0
4.935341329E2,-1.036295013E0,9.593699799E0,-1.273851013E0
4.935542209E2,-1.033750305E0,9.611363068E0,-1.253493347E0
