"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.173818380E0,3.011216521E-1,1.299572140E-1,-1.239009202E-1
4.193818380E0,2.860071063E-1,1.355073601E-1,-8.993681520E-2
4.213816818E0,2.205747068E-1,4.386012256E-2,-2.942625061E-2
4.233816818E0,2.395115346E-1,-1.288751066E-1,-6.754423957E-3
4.253818380E0,1.630835682E-1,-1.912357211E-1,-4.232423380E-2
4.273816818E0,1.555786431E-1,-5.075417459E-2,-1.183333248E-2
4.293818380E0,1.489289403E-1,-7.918559015E-2,-3.817034885E-2
4.313816818E0,8.897688240E-2,-1.604830176E-1,-1.083674952E-1
4.333818380E0,7.483971864E-2,-1.149473861E-1,-7.166321576E-2
4.353818380E0,9.728465229E-2,-1.164832711E-1,6.475171540E-3
4.373816818E0,6.044075266E-2,-1.919862181E-1,1.977458037E-2
4.393818380E0,5.117305368E-2,-1.436929554E-1,1.295034308E-2
4.413816818E0,4.352851212E-2,-6.764896214E-2,-1.780235791E-3
4.433816818E0,9.086184204E-2,1.555088349E-2,4.429645464E-2
4.453816818E0,7.023204863E-2,-9.239772707E-2,9.983283468E-3
4.473818380E0,6.220353395E-2,-1.384569705E-1,-1.221730490E-4
4.493818380E0,7.723081857E-2,-4.883431271E-2,-5.288347602E-3
4.513816818E0,1.064127237E-1,-7.323401421E-2,-1.143190637E-2
4.533818380E0,1.090656221E-1,-4.984660447E-2,4.834562074E-3
4.553818380E0,1.209687665E-1,4.673991725E-2,7.628834248E-2
4.573816818E0,1.454382837E-1,1.027126238E-1,4.956734926E-2
4.593816818E0,1.631010175E-1,5.530948564E-2,3.265510872E-2
4.613818380E0,1.518436372E-1,3.436553106E-2,3.469714522E-2
4.633816818E0,8.737118542E-2,3.193952609E-3,1.101302728E-2
4.653816818E0,5.482079089E-2,-4.640830308E-2,-1.890191622E-2
4.673824630E0,4.874704406E-2,-1.580395699E-1,-6.056292448E-3
4.693818380E0,5.738642439E-2,-1.992293298E-1,5.585053586E-4
4.713816818E0,3.659955412E-2,-1.166752577E-1,-9.075712413E-3
4.733816818E0,1.338667516E-2,3.841469809E-2,1.768018492E-2
