"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.412336818E0,-1.449325204E0,3.649625182E-1,9.089692116E0
4.432336818E0,-1.507398963E0,1.176606417E-1,9.263482094E0
4.452336818E0,-1.365614295E0,-8.073247969E-3,9.173306465E0
4.472338380E0,-1.416390538E0,5.121867657E-1,9.340479851E0
4.492338380E0,-1.236652970E0,7.811322212E-1,9.351350784E0
4.512336818E0,-1.292054892E0,6.865612268E-1,9.343497276E0
4.532338380E0,-1.788143039E0,1.124470353E0,9.188715935E0
4.552338380E0,-1.515117764E0,3.955221176E-1,9.156663895E0
4.572336818E0,-1.258765817E0,4.205271602E-1,9.318289757E0
4.592336818E0,-1.422232389E0,4.406575859E-1,9.356942177E0
4.612338380E0,-1.770550370E0,1.212423667E-1,9.180843353E0
4.632336818E0,-1.705926061E0,-2.958179712E-1,9.139988899E0
4.652336818E0,-1.395886540E0,4.518337250E-1,9.354566574E0
4.672344630E0,-1.160881281E0,1.077371597E0,9.508180618E0
4.692338380E0,-1.357933640E0,7.995388508E-1,9.339829445E0
4.712336818E0,-1.484261394E0,5.318192244E-1,9.204441071E0
4.732336818E0,-1.254973412E0,1.232314706E0,9.306203842E0
4.752338380E0,-1.005986094E0,1.713951468E0,9.456463814E0
4.772338380E0,-1.348701596E0,9.895905852E-1,9.319180489E0
4.792338380E0,-1.649978399E0,5.023992658E-1,9.107265472E0
4.812338380E0,-1.484337926E0,8.620083332E-1,9.179292679E0
4.832338380E0,-1.482029915E0,9.520015717E-1,9.292261124E0
4.852338380E0,-1.565080047E0,3.223935962E-1,9.227205276E0
4.872336818E0,-1.660771489E0,-1.717121340E-2,9.248198509E0
4.892338380E0,-1.491348147E0,-9.571060538E-2,9.235891342E0
4.912336818E0,-1.494891644E0,3.124241531E-1,9.243936539E0
4.932338380E0,-1.566861272E0,-2.165890485E-1,9.147411346E0
4.952336818E0,-1.691101193E0,-6.742071509E-1,9.207754135E0
4.972338380E0,-1.558778524E0,-6.593248248E-1,9.211508751E0
4.992338380E0,-1.609094977E0,-5.526583195E-1,9.213892937E0
5.012336818E0,-1.878959894E0,-6.990590096E-1,9.211518288E0
5.032339943E0,-1.739770532E0,4.159206897E-2,9.135412216E0
5.052336818E0,-1.628708363E0,7.536851168E-1,9.296532631E0
5.072343068E0,-1.509448290E0,3.337517083E-1,9.294425011E0
5.092336818E0,-1.875263214E0,2.724122703E-1,8.995704651E0
5.112338380E0,-1.905497193E0,1.852920502E-1,9.134089470E0
5.132341505E0,-1.627673984E0,4.850365222E-1,9.337290764E0
5.152338380E0,-1.493704081E0,5.906686783E-1,9.307641029E0
5.172338380E0,-1.678105474E0,3.813579977E-1,9.337328911E0
5.192338380E0,-1.863531590E0,5.798947811E-1,9.106173515E0
5.212338380E0,-6.106746197E-1,1.935367227E0,9.433299065E0
5.232336818E0,9.528921917E-3,1.964509487E0,8.792906761E0
5.252338380E0,-1.624044418E0,-8.909973502E-1,9.790465355E0
5.272338380E0,-2.450704813E0,-1.042914242E-1,8.875151634E0
5.292338380E0,-1.157232523E0,1.237610728E-1,9.069762230E0
5.312336818E0,-1.493847728E0,5.436274409E-1,9.193379402E0
5.332338380E0,-1.700017214E0,4.578862786E-1,9.530973434E0
5.352338380E0,-1.443042755E0,7.015681267E-1,9.230490685E0
5.372336818E0,-1.531733513E0,5.221179128E-1,9.314133644E0
5.392339943E0,-1.611565828E0,4.582023025E-1,9.217254639E0
5.412338380E0,-1.613078952E0,4.407821000E-1,9.206098557E0
5.432344630E0,-1.606183648E0,6.081750989E-1,9.206864357E0
5.452336818E0,-1.585631847E0,5.694943666E-1,9.226898193E0
5.472338380E0,-1.602649808E0,8.093071580E-1,9.386371613E0
5.492338380E0,-1.539088607E0,5.231330395E-1,9.320053101E0
5.512336818E0,-1.729111552E0,5.513942242E-1,9.252459526E0
5.532339943E0,-1.626007676E0,2.523392737E-1,9.263807297E0
5.552338380E0,-2.001226902E0,4.144746065E-1,9.112196922E0
5.572338380E0,-1.579138756E0,5.759012699E-1,9.339406967E0
5.592344630E0,-1.679111004E0,5.802778602E-1,9.277100563E0
5.612338380E0,-1.696042895E0,3.980025053E-1,9.178343773E0
5.632338380E0,-1.773624539E0,4.773176014E-1,9.161709785E0
5.652338380E0,-1.626429081E0,6.058670878E-1,9.098990440E0
5.672338380E0,-1.606729507E0,7.151575685E-1,9.235565186E0
5.692339943E0,-1.654958367E0,5.649645329E-1,9.347002983E0
5.712338380E0,-1.807229519E0,6.031759977E-1,8.880630493E0
5.732336818E0,-1.665176749E0,5.828540325E-1,9.105704308E0
5.752338380E0,-1.600542903E0,3.989314437E-1,9.493727684E0
5.772338380E0,-1.708243728E0,7.433900237E-1,9.046222687E0
5.792339943E0,-1.809614182E0,6.467313170E-1,9.214352608E0
5.812338380E0,-1.770243883E0,6.344155669E-1,9.245122910E0
5.832338380E0,-1.742193460E0,6.191692352E-1,9.132260323E0
5.852338380E0,-1.812851191E0,6.010690928E-1,9.177520752E0
5.872336818E0,-1.693026185E0,6.798958182E-1,9.232453346E0
5.892346193E0,-1.796838760E0,6.788710952E-1,9.199537277E0
5.912338380E0,-1.809709907E0,6.188724041E-1,9.188649178E0
5.932336818E0,-1.773931026E0,6.458119154E-1,9.156615257E0
5.952336818E0,-1.859969020E0,7.096605301E-1,9.165041924E0
5.972338380E0,-1.803446770E0,7.364276648E-1,9.186934471E0
5.992338380E0,-1.758866668E0,6.865420938E-1,9.182385445E0
6.012338380E0,-1.768558383E0,5.969510674E-1,9.163949966E0
6.032338380E0,-1.744472742E0,6.161717176E-1,9.141511917E0
6.052338380E0,-1.716058373E0,6.772142649E-1,9.173172951E0
6.072338380E0,-1.824697614E0,6.892715096E-1,9.263826370E0
6.092336818E0,-1.850717783E0,7.331907153E-1,9.197153091E0
6.112338380E0,-1.979411006E0,7.137402296E-1,9.219056129E0
6.132338380E0,-1.949062109E0,6.667468548E-1,9.181494713E0
6.152338380E0,-1.904798031E0,6.866570115E-1,9.211146355E0
6.172338380E0,-1.815034628E0,7.184233069E-1,9.233841896E0
6.192338380E0,-1.893344164E0,7.838137150E-1,9.211393356E0
6.212338380E0,-1.908149958E0,7.927871943E-1,9.129923820E0
6.232336818E0,-1.907738090E0,7.085112929E-1,9.159649849E0
6.252338380E0,-1.895039320E0,6.636822820E-1,9.147439957E0
6.272338380E0,-1.860830903E0,7.053509355E-1,9.153540611E0
6.292338380E0,-1.886286139E0,6.818494797E-1,9.176744461E0
6.312336818E0,-1.939571500E0,6.179913282E-1,9.132605553E0
6.332338380E0,-1.902719855E0,5.894907713E-1,9.151396751E0
6.352338380E0,-1.869909763E0,7.501991391E-1,9.172349930E0
6.372338380E0,-1.813483238E0,8.205599189E-1,9.172205925E0
6.392339943E0,-1.786447883E0,7.320414782E-1,9.197143555E0
6.412338380E0,-1.877417922E0,6.725407839E-1,9.248666763E0
6.432336818E0,-1.865839601E0,5.679621100E-1,9.196511269E0
6.452336818E0,-1.847777724E0,5.376418829E-1,9.088016510E0
6.472338380E0,-1.898362398E0,6.140073538E-1,9.124149323E0
6.492338380E0,-1.822590709E0,7.357285619E-1,9.079454422E0
6.512336818E0,-2.023378134E0,6.828837395E-1,9.252133369E0
6.532339943E0,-1.965285182E0,6.554462314E-1,9.078180313E0
6.552338380E0,-1.870168328E0,6.596887112E-1,9.383471489E0
6.572336818E0,-1.930358529E0,7.078505158E-1,9.175807953E0
6.592336818E0,-1.952260733E0,7.432942390E-1,9.072865486E0
6.612338380E0,-1.950096369E0,8.215655088E-1,9.057820320E0
6.632338380E0,-1.800305486E0,8.493191004E-1,9.057619095E0
6.652336818E0,-1.490811825E0,7.727046013E-1,9.233976364E0
6.672338380E0,-1.518105745E0,7.456597090E-1,9.250936508E0
6.692338380E0,-1.676238060E0,5.993835926E-1,9.195487022E0
6.712338380E0,-1.679149389E0,4.496597946E-1,9.217628479E0
6.732336818E0,-2.048938513E0,7.901822925E-1,9.086195946E0
6.752338380E0,-1.894282699E0,6.463291049E-1,9.256969452E0
6.772338380E0,-1.949598312E0,7.953920960E-1,9.233679771E0
6.792338380E0,-1.878298998E0,7.065384984E-1,9.226428986E0
6.812338380E0,-2.041296244E0,6.772909164E-1,9.112869263E0
6.832338380E0,-2.034219027E0,6.035782099E-1,9.091683388E0
6.852338380E0,-1.971816540E0,6.013181210E-1,9.217285156E0
6.872336818E0,-1.970140576E0,8.035802245E-1,9.224074364E0
6.892339943E0,-1.975398302E0,9.279925227E-1,9.197238922E0
6.912338380E0,-1.889580488E0,8.274935484E-1,9.081637383E0
6.932338380E0,-1.933183670E0,7.366192341E-1,9.164017677E0
6.952336818E0,-2.028607130E0,7.097562551E-1,9.227435112E0
6.972338380E0,-2.076720953E0,6.816866398E-1,9.158070564E0
6.992338380E0,-2.026136160E0,7.524304986E-1,9.087326050E0
7.012336818E0,-1.840144992E0,6.175124645E-1,9.106451035E0
7.032338380E0,-1.914422750E0,6.712958217E-1,9.138102531E0
7.052338380E0,-1.901427031E0,6.522188187E-1,9.194952011E0
7.072338380E0,-1.847030759E0,7.333056331E-1,9.229264259E0
7.092336818E0,-2.063849688E0,8.144211769E-1,9.134321213E0
7.112338380E0,-2.065621376E0,6.639121175E-1,9.158309937E0
7.132338380E0,-2.105077744E0,7.774355412E-1,9.195859909E0
7.152336818E0,-2.085588932E0,7.547577024E-1,9.187030792E0
7.172336818E0,-2.121808529E0,7.217273116E-1,9.141454697E0
7.192338380E0,-2.066512108E0,7.783358097E-1,9.101088524E0
7.212336818E0,-1.982753277E0,8.138465881E-1,9.124964714E0
7.232336818E0,-1.953965425E0,7.009552121E-1,9.185135841E0
7.252338380E0,-1.950508118E0,6.034632921E-1,9.176133156E0
7.272336818E0,-1.965304375E0,6.024481654E-1,9.076207161E0
7.292338380E0,-1.911377311E0,6.191501021E-1,9.120242119E0
7.312336818E0,-1.880540013E0,7.064331174E-1,9.139299393E0
7.332338380E0,-1.948113918E0,7.286704779E-1,9.102218628E0
7.352338380E0,-1.976164460E0,7.351731062E-1,9.096692085E0
7.372336818E0,-1.996304393E0,7.398274541E-1,9.158424377E0
7.392339943E0,-2.079804659E0,7.546810508E-1,9.201339722E0
7.412336818E0,-2.135685205E0,7.060405016E-1,9.167791367E0
7.432336818E0,-2.075533390E0,6.214006543E-1,9.125759125E0
7.452336818E0,-1.942779660E0,6.311498284E-1,9.147554398E0
7.472338380E0,-1.915916681E0,7.141903639E-1,9.157850266E0
7.492338380E0,-1.962670684E0,7.622179985E-1,9.153838158E0
7.512336818E0,-2.040156603E0,6.220997572E-1,9.112380028E0
7.532338380E0,-2.071779251E0,4.519582391E-1,9.089873314E0
7.552338380E0,-1.991209626E0,5.330929160E-1,9.160523415E0
7.572336818E0,-2.007748842E0,7.202237248E-1,9.199213028E0
7.592336818E0,-2.012211561E0,8.408340216E-1,9.182662964E0
7.612338380E0,-2.072382689E0,8.162311912E-1,9.165396690E0
7.632338380E0,-2.153296947E0,4.524849355E-1,9.121325493E0
7.652336818E0,-2.145980358E0,2.375143766E-1,9.268941879E0
7.672336818E0,-2.035195827E0,3.936929405E-1,9.292797089E0
7.692338380E0,-2.049810171E0,6.855652928E-1,9.523846626E0
7.712338380E0,-2.127966404E0,8.502384424E-1,9.350852013E0
