"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.283181576E2,2.996019745E0,8.543034668E0,-3.591780853E0
1.283382436E2,6.373745728E-1,7.762258301E0,-2.559826813E0
1.283583306E2,-2.573298798E0,6.481072540E0,-3.278182983E-2
1.283784176E2,-4.290078735E0,5.119803314E0,-3.314108276E-1
1.283985046E2,-2.836750946E0,4.603377228E0,3.290158081E-1
1.284185916E2,-1.938169556E0,3.282823334E0,1.065184937E0
1.284386786E2,-2.052082672E0,1.932631073E0,2.164199524E0
1.284587646E2,-1.347946930E0,2.148182831E0,3.448678436E0
1.284788516E2,-1.597328339E0,2.570305023E0,4.565356293E0
1.284989386E2,-2.155667267E0,4.966522064E0,5.445525970E0
1.285190256E2,-3.353476410E0,1.353979385E1,4.601131897E0
1.285391126E2,-8.036787415E-1,2.335787704E1,1.053808594E-1
1.285591996E2,7.083569641E0,2.125325363E1,8.369096375E0
1.285792866E2,6.840475159E0,1.375369904E1,4.202959900E0
1.285993726E2,1.236129456E0,9.524693298E0,4.785548401E0
1.286194596E2,-1.597927094E0,1.084360062E1,7.012467499E0
1.286395466E2,-5.456004181E0,1.474014771E1,-1.009051666E0
1.286596336E2,-8.342302094E0,9.754465485E0,-1.701960754E0
1.286797206E2,-4.689148865E0,6.223907318E0,9.616003418E-1
1.286998076E2,-2.066901855E0,6.164181519E0,-4.528832245E0
1.287198936E2,-2.533331909E0,5.671855316E0,-5.614973602E0
1.287399806E2,-1.319655762E0,6.721023560E0,-3.877536621E0
1.287600676E2,-8.773255920E-1,7.941884766E0,-3.596870270E0
1.287801546E2,-6.493496704E-1,9.476942596E0,-3.974684601E0
1.288002416E2,-1.119671631E0,1.041519150E1,-1.809736633E0
1.288203282E2,-1.257534943E0,1.111378876E1,4.131408691E-2
1.288404142E2,-7.234455872E-1,1.106079895E1,4.333937531E0
1.288605012E2,-8.039781189E-1,1.060843964E1,-4.962181091E-1
1.288805882E2,-6.635700989E-1,1.021835083E1,-3.193908234E0
1.289006752E2,8.533753967E-1,9.466614075E0,1.493144989E0
1.289207622E2,1.894011383E0,9.045988770E0,2.762056274E0
1.289408492E2,1.651066589E0,8.712182922E0,-2.052232361E-1
1.289609352E2,5.185217285E-1,8.296048279E0,-6.622229004E-1
1.289810222E2,-1.781295776E-2,9.537716217E0,-7.216493225E-1
1.290011092E2,-3.104544067E-1,1.013736923E1,-1.323098602E0
1.290211962E2,2.814147949E-2,1.056952057E1,-4.141886902E-1
1.290412832E2,7.244934082E-2,9.701775055E0,7.149133301E-1
1.290613702E2,7.268884277E-1,1.014934433E1,1.185534668E-1
1.290814572E2,3.731739807E-1,9.941127319E0,-1.209484863E-1
1.291015432E2,1.538949738E0,9.672136688E0,-4.206253052E-2
1.291216302E2,2.960842896E0,1.075124268E1,1.018182678E0
1.291417172E2,5.171595612E0,1.284074753E1,6.950047302E-1
1.291618042E2,5.857319641E0,1.301004547E1,1.318757629E-1
1.291818912E2,2.123334503E0,1.161838943E1,-6.198609924E-1
1.292019782E2,4.251159668E-1,1.121378082E1,7.987390137E-1
1.292220642E2,-2.585124207E-1,1.231728607E1,3.933669891E0
1.292421512E2,-1.028361511E0,1.340342743E1,2.068249054E0
1.292622382E2,-2.106719055E0,1.387434814E1,-3.172502747E0
1.292823252E2,-9.299112396E0,1.219828354E1,-4.701423340E0
1.293024122E2,-7.821085968E0,1.000534378E1,7.020251312E0
1.293224992E2,-1.716779938E0,1.111289062E1,5.222639465E0
1.293425852E2,-4.707710266E-1,1.094119766E1,1.589694214E0
1.293626722E2,8.280780029E-1,9.930499420E0,-1.185384979E0
1.293827592E2,1.116378479E0,9.135502625E0,-1.048868866E0
1.294028462E2,-3.330574036E-1,7.328909454E0,-5.074447632E-1
1.294229332E2,-1.570234680E0,5.418132935E0,7.840695190E-1
1.294430202E2,-2.200424194E0,4.266876984E0,1.358874207E0
1.294631062E2,-1.909878387E0,3.564687195E0,1.874701538E0
1.294831932E2,-1.477427673E0,3.873495026E0,1.919907532E0
1.295032802E2,-1.174607391E0,3.860172729E0,1.745071106E0
1.295233672E2,-1.126257935E0,3.649261322E0,2.567011871E0
1.295434542E2,-1.437610474E0,2.997816010E0,4.011957092E0
1.295635412E2,-1.384920044E0,4.264481964E0,6.072272644E0
1.295836272E2,-1.275647278E0,1.085677322E1,6.661148071E0
1.296037142E2,-4.006418610E0,2.231020569E1,1.869462433E0
1.296238012E2,3.629203033E0,2.287947189E1,2.575993195E0
1.296438882E2,9.560468903E0,1.489732086E1,4.072281647E0
1.296639752E2,7.278614044E0,8.046666870E0,2.630180511E0
1.296840622E2,5.041665802E0,8.269403687E0,5.937702484E0
1.297041492E2,-2.613565063E0,1.310809158E1,2.712509308E0
1.297242352E2,-4.067790985E0,1.694446381E1,-3.053799591E0
1.297443222E2,-1.143621826E1,8.499475250E0,2.463427277E0
1.297644092E2,-4.303850098E0,6.279292145E0,-6.566095734E0
1.297844962E2,-2.139650574E0,5.672753448E0,-4.902754669E0
1.298045832E2,-1.493294678E0,4.948858795E0,-3.053799591E0
1.298246700E2,-1.647324371E0,5.881569214E0,-3.142714691E0
1.298447560E2,-5.224136353E-1,8.535999298E0,-3.910917206E0
1.298648430E2,-1.696571960E0,1.027777725E1,-1.346150665E0
1.298849300E2,-1.817520447E0,1.190100174E1,9.395960999E-1
1.299050170E2,-4.358935547E-1,1.205892334E1,4.543950806E0
1.299251040E2,-1.221609650E0,1.099867813E1,-2.185904388E0
1.299451910E2,1.859133911E-1,9.210646362E0,-1.854044495E0
1.299652770E2,2.356998596E0,8.261320496E0,1.372944946E0
1.299853640E2,1.782493286E0,8.063881073E0,3.770658875E-1
1.300054510E2,8.467890930E-1,7.708819427E0,-4.372407532E-1
1.300255380E2,2.351609802E-1,9.247170410E0,-2.553689575E-1
1.300456250E2,-2.401007080E-1,1.006027954E1,-5.725593567E-1
1.300657120E2,-8.443940735E-1,1.021341110E1,-1.534309387E-1
1.300857980E2,-6.765930176E-1,9.872869263E0,7.637118530E-1
1.301058850E2,3.264710999E-1,9.808802490E0,8.246351624E-1
1.301259720E2,9.093589783E-1,1.034828064E1,3.496728516E-1
1.301460590E2,1.001118164E0,9.962832184E0,-6.283932495E-1
1.301661460E2,1.995799713E0,1.045411057E1,-2.173480225E-1
1.301862330E2,3.528462524E0,1.320119797E1,5.436694336E-1
1.302063190E2,5.719606018E0,1.318233719E1,-3.538641357E-1
1.302264060E2,5.195695496E0,1.300330948E1,-1.502126312E0
1.302464930E2,1.103954315E0,1.128548172E1,-8.442443848E-2
1.302665800E2,8.532257080E-3,1.182211578E1,1.608854370E0
1.302866670E2,-1.723216553E0,1.202494400E1,4.603526917E0
1.303067540E2,-1.693578186E0,1.431802551E1,-1.922003174E-1
1.303268400E2,-4.716841278E0,1.396146698E1,-4.247267761E0
1.303469270E2,-1.012539413E1,1.035262161E1,3.049159241E-1
1.303670140E2,-5.262606354E0,9.819280701E0,6.415359192E0
1.303871010E2,7.301815796E-1,1.078656921E1,2.176024933E0
1.304071880E2,1.683549042E0,1.022134460E1,7.596702576E-1
1.304272750E2,1.994602203E0,9.672286377E0,-1.014889526E-1
1.304473620E2,1.309327240E0,9.183103638E0,-6.589297485E-1
1.304674480E2,-5.227130127E-1,8.603359222E0,-8.933422852E-1
1.304875350E2,-2.969524841E0,7.040908356E0,-6.634204102E-1
1.305076220E2,-3.208428040E0,5.749992828E0,1.444496155E-1
1.305277090E2,-2.425256653E0,4.867428131E0,1.459614716E0
1.305477960E2,-1.850302277E0,3.319796448E0,1.473835144E0
1.305678830E2,-1.005608826E0,2.628683624E0,1.976340179E0
1.305879690E2,-5.993536377E-1,2.599793701E0,2.576292572E0
1.306080560E2,-4.514611816E-1,2.358196106E0,3.493135986E0
1.306281430E2,-8.607101440E-2,3.392545166E0,5.790408783E0
