"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.344737501E0,-5.867622495E-1,-3.824889064E-1,2.410404444E0
2.364737501E0,-7.285353541E-1,-1.628444552E0,2.464736462E0
2.384737501E0,-1.933650225E-1,-1.621498108E0,2.357171774E0
2.404737501E0,1.990373433E-1,-1.309503078E0,2.250410080E0
2.424737501E0,3.632728159E-1,-1.045242786E0,2.098426819E0
2.444737501E0,2.068913281E-1,-7.323226929E-1,2.311357021E0
2.464737501E0,1.319992542E-1,-6.995628476E-1,2.746205807E0
2.484737501E0,-3.811450005E-1,-9.508553743E-1,3.262369394E0
2.504737501E0,-9.697049260E-1,-9.359328151E-1,3.609532833E0
2.524737501E0,-1.076135159E0,-9.281660914E-1,3.310365915E0
2.544737501E0,-7.660250068E-1,-3.380004764E-1,2.548634529E0
2.564737501E0,-9.819222242E-2,1.119698524E0,1.969534278E0
2.584737501E0,7.317991257E-1,1.504089832E0,1.662268996E0
2.604737501E0,3.517711163E-1,1.531962752E0,1.276411653E0
2.624737501E0,-3.177720904E-1,1.235064745E0,1.049309373E0
2.644737501E0,-2.190911770E-1,1.175514102E0,8.686852455E-1
2.664737501E0,3.689626157E-1,1.927768469E0,8.974657655E-1
2.684737501E0,6.750584245E-1,2.293030977E0,1.040739775E0
2.704737501E0,1.935570128E-2,3.031270266E0,1.245466948E0
2.724737501E0,-7.532491684E-1,3.042894363E0,1.079800248E0
2.744737501E0,1.103501916E0,9.142557979E-1,4.277103841E-1
2.764737501E0,2.224928379E0,2.046765089E0,8.179311156E-1
2.784737501E0,1.508837104E0,2.341463804E0,1.148618579E0
2.804737501E0,8.607789278E-1,1.681380391E0,1.331040502E0
2.824737501E0,6.894224882E-1,1.743252277E0,1.179825068E0
2.844737501E0,4.416555762E-1,1.701189876E0,8.352098465E-1
2.864737501E0,-4.026823640E-1,1.879597425E0,3.402344882E-1
2.884737501E0,-9.595820308E-1,1.348650813E0,1.227315515E-1
2.904737501E0,-1.421291471E0,1.371287704E0,-3.680550456E-1
2.924737501E0,-1.918832421E0,1.975817442E0,-7.952243686E-1
2.944737501E0,-2.024599314E0,3.166481018E0,-1.236879945E0
