"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.995192559E2,8.680417389E-2,9.245546341E0,1.480344415E0
3.995392559E2,-8.556876332E-2,1.063433456E1,-1.081939697E0
3.995592559E2,-1.351584315E0,1.195188332E1,-2.239124298E0
3.995792559E2,-1.147061944E0,1.156779575E1,-5.021215081E-1
3.995992559E2,-2.893344760E-1,1.247073650E1,2.641082048E0
3.996192559E2,-4.320001602E-1,1.382376671E1,2.277297497E0
3.996392559E2,-1.220267057E0,1.321452713E1,-1.999349892E-1
3.996592559E2,-1.101332754E-1,1.142924881E1,-4.037390053E-1
3.996792559E2,8.153405786E-1,1.094138718E1,-2.285887957E0
3.996992559E2,3.723845482E-1,9.962885857E0,-3.478410959E0
3.997192559E2,-1.018139005E0,7.864501953E0,-5.439807892E0
3.997392559E2,-2.576141834E0,7.376803398E0,-4.803074837E0
3.997592559E2,-5.423891544E0,9.754954338E0,2.430210412E-1
3.997792559E2,-5.075793743E0,1.008432961E1,-5.790137053E-1
3.997992559E2,-4.552325249E0,1.099201012E1,-2.230486155E0
3.998192559E2,-6.026396751E-1,1.067751694E1,-2.410338402E0
3.998392559E2,1.617120385E0,1.169673824E1,-4.584091663E0
3.998592559E2,3.748409986E0,1.246733570E1,-1.643561959E0
3.998792559E2,3.397419930E0,1.178293991E1,2.443752050E0
3.998992559E2,2.137591124E0,9.276516914E0,3.984813452E0
3.999192559E2,2.878309190E-1,8.027060509E0,2.400752068E0
3.999392559E2,-3.665024757E0,8.482083321E0,-3.551654518E-1
3.999592559E2,-1.680585861E0,6.978570938E0,-2.024431467E0
3.999792559E2,-1.386501312E0,5.663504124E0,1.406785011E0
3.999992559E2,-1.699509621E0,5.331044197E0,3.536283731E0
4.000192559E2,-2.344143629E0,5.800547123E0,3.019461632E0
4.000392559E2,-2.235561848E0,6.385220528E0,1.787692904E0
4.000592559E2,-2.058036566E0,6.516403675E0,1.527692199E0
4.000792559E2,-1.608941793E0,6.519526958E0,2.892588139E0
4.000992559E2,-1.074096322E0,6.884086132E0,4.229701996E0
4.001192559E2,-3.305913508E-1,6.998816490E0,4.902788639E0
4.001392559E2,-1.197005063E-1,8.496371269E0,3.854731560E0
4.001592559E2,-2.646186590E0,1.277190685E1,1.881143332E0
4.001792559E2,-4.873215199E0,1.846314430E1,-2.476092815E0
4.001992559E2,-4.716088772E0,1.639753342E1,1.274979353E0
4.002192559E2,-2.277738094E0,1.490277576E1,7.105972290E0
4.002392559E2,1.892817497E0,1.182674313E1,5.968141079E0
4.002592559E2,6.925563216E-1,1.087695408E1,2.303834915E0
4.002792559E2,-1.978482008E0,9.578512192E0,-3.869077682E0
4.002992559E2,-1.627894282E0,8.531746864E0,-7.293600082E0
4.003192559E2,2.928683162E-1,8.027930260E0,-4.951371670E0
4.003392559E2,2.679906368E0,7.304421902E0,2.003352880E0
4.003592559E2,3.393139124E0,8.149066925E0,3.956973553E0
4.003792559E2,2.246824026E0,7.973313808E0,1.166263521E-1
4.003992559E2,-1.979075789E0,1.035199261E1,-2.836726665E0
4.004192559E2,-3.369206667E0,1.205824280E1,-3.473431110E0
4.004392559E2,-5.275364876E0,1.253333092E1,-2.526476383E0
4.004592559E2,-4.547412395E0,9.830802917E0,2.979449749E0
4.004792559E2,-2.294306040E0,8.639612198E0,2.900058031E0
4.004992559E2,-4.872679114E-1,7.323690414E0,-1.128837347E0
4.005192559E2,9.377225637E-1,5.887696266E0,-3.312808990E0
4.005392559E2,1.703723431E0,6.596140385E0,-1.343798280E0
4.005592559E2,9.914101362E-1,8.408330917E0,7.634630203E-1
4.005792559E2,1.967363358E-1,9.489763260E0,1.645199537E0
4.005992559E2,3.406948745E-1,9.839499474E0,7.082910538E-1
4.006192559E2,7.970775962E-1,9.567832947E0,2.793363035E-1
4.006392559E2,8.167196512E-1,8.828982353E0,-2.798725963E-1
4.006592559E2,3.795671463E-1,8.799447060E0,-3.769335151E-1
4.006792559E2,-3.840011954E-1,9.320627213E0,8.433048129E-1
4.006992559E2,-9.266422391E-1,9.853930473E0,2.158497334E0
4.007192559E2,-7.385632992E-1,1.080349159E1,1.097329617E0
4.007392559E2,-5.744743347E-1,1.223272324E1,-1.532806158E0
4.007592559E2,1.488714516E-1,1.176023197E1,-1.805955887E0
4.007792559E2,1.545342207E0,1.168399143E1,1.272431970E0
4.007992559E2,1.682166100E0,1.275903511E1,2.355990171E0
4.008192559E2,4.417684972E-1,1.411998749E1,-6.210559011E-1
4.008392559E2,-2.794224918E-1,1.172624397E1,-1.149235964E0
4.008592559E2,-6.299048662E-1,1.033613300E1,-3.100165367E0
4.008792559E2,-1.620098710E0,9.184685707E0,-5.136568069E0
4.008992559E2,-2.838785648E0,7.804139614E0,-5.427530766E0
4.009192559E2,-6.064321041E0,1.030921173E1,-1.741532683E0
4.009392559E2,-4.707258701E0,1.014153194E1,-9.615113735E-1
4.009592559E2,-3.850172997E0,9.622976303E0,-2.206419468E0
4.009792559E2,-1.519973278E0,9.585176468E0,-3.791151285E0
4.009992559E2,9.293141365E-1,1.009335041E1,-4.717381477E0
4.010192559E2,2.096554518E0,1.293392754E1,-3.246182919E0
4.010392559E2,3.627339840E0,1.330618763E1,8.780590892E-1
4.010592559E2,3.286970615E0,1.139431286E1,2.646368504E0
4.010792559E2,1.317471623E0,8.851708412E0,2.814422369E0
4.010992559E2,2.610637546E-1,7.437884331E0,1.699825644E0
4.011192559E2,-2.776823759E0,7.912817001E0,-6.822804213E-1
4.011392559E2,-1.838516951E0,6.927134037E0,-1.058984041E0
4.011592559E2,-1.791341662E0,5.762737751E0,1.082456827E0
4.011792559E2,-1.609995246E0,5.122519016E0,1.996390581E0
4.011992559E2,-2.300530910E0,5.305953026E0,2.148020267E0
4.012192559E2,-2.535775423E0,6.514297009E0,2.281319857E0
4.012392559E2,-1.640085578E0,7.105003834E0,2.009319305E0
4.012592559E2,-8.131474853E-1,7.441609383E0,2.476859093E0
4.012792559E2,-7.451329827E-1,7.576853275E0,3.086652517E0
4.012992559E2,-7.661541104E-1,8.072759628E0,3.577377796E0
4.013192559E2,-1.800257683E0,1.062841797E1,3.316476822E0
4.013392559E2,-3.258489132E0,1.393971252E1,8.744294643E-1
4.013592559E2,-3.652747154E0,1.386359692E1,-1.281300068E0
4.013792559E2,-3.195550442E0,1.308859253E1,1.932973027E0
4.013992559E2,-1.039150476E0,1.423258114E1,7.664883137E0
4.014192559E2,1.859595537E0,1.296145248E1,7.085036278E0
4.014392559E2,2.493417263E-1,1.140772915E1,2.205433130E0
4.014592559E2,-2.195396662E0,1.180971622E1,-5.249717832E-1
4.014792559E2,-2.433475971E0,1.067197132E1,-3.145808458E0
4.014992559E2,-1.241996884E0,8.663016319E0,-5.636965752E0
4.015192559E2,-1.879065186E-1,7.069952965E0,-4.285668850E0
4.015392559E2,1.894550920E0,5.870620728E0,9.370521903E-1
4.015592559E2,1.184047580E0,6.999285698E0,1.667992353E0
4.015792559E2,-7.191224098E-1,9.544419289E0,-1.718423843E0
4.015992559E2,-4.039497077E-1,1.175619030E1,-2.972717285E0
4.016192559E2,-2.964711189E0,1.363602161E1,-1.918387532E0
4.016392559E2,-4.143434048E0,1.185093498E1,-1.219654202E0
4.016592559E2,-2.999120474E0,8.905921936E0,1.734168053E0
4.016792559E2,-1.289708495E0,7.482445240E0,2.288990736E0
4.016992559E2,4.831594527E-1,6.539847851E0,-1.169059873E0
4.017192559E2,1.420173407E0,6.292957783E0,-1.918847203E0
4.017392559E2,8.969637156E-1,7.310186863E0,-8.531497717E-1
4.017592559E2,-5.889736116E-2,9.008547783E0,-5.282757878E-1
4.017792559E2,1.877724379E-1,9.768763542E0,-1.695669293E-1
4.017992559E2,1.089553237E0,1.016826057E1,3.106400013E0
4.018192559E2,2.121166945E0,9.717566490E0,3.295302391E0
4.018392559E2,1.819238901E0,8.958739281E0,-4.600027502E-1
4.018592559E2,1.256563187E0,8.676376343E0,-1.457618713E0
4.018792559E2,1.596645117E-1,9.221765518E0,3.906283677E-1
4.018992559E2,-5.883128047E-1,9.874176025E0,2.344632149E0
4.019192559E2,-4.795106947E-1,1.026281261E1,9.017041922E-1
4.019392559E2,-5.731718615E-2,1.118344021E1,-2.283043623E0
4.019592559E2,8.519335389E-1,1.104463482E1,-2.305625677E0
4.019792559E2,2.296278715E0,1.207379627E1,7.734994888E-1
4.019992559E2,1.780194283E0,1.356537342E1,1.239200473E0
4.020192559E2,8.455362171E-2,1.491503429E1,-1.440830529E-1
4.020392559E2,-3.840011954E-1,1.320491409E1,-1.619974256E0
4.020592559E2,-1.255327761E-1,1.192842102E1,-2.540429831E0
4.020792559E2,-7.455831170E-1,1.122961998E1,-3.182976007E0
4.020992559E2,-2.264014482E0,9.380271912E0,-3.941334724E0
4.021192559E2,-4.172844410E0,5.270202637E0,-3.805746317E0
4.021392559E2,-5.372099876E0,6.881213188E0,-4.897961915E-1
4.021592559E2,-3.892732382E0,7.798671246E0,-5.759012699E-1
4.021792559E2,-2.854146957E0,8.840926170E0,-1.675423980E0
4.021992559E2,-9.387664199E-1,1.024598598E1,-4.243434906E0
4.022192559E2,1.322461247E0,1.291718769E1,-2.703120708E0
4.022392559E2,2.190857172E0,1.490125179E1,-1.768500924E0
4.022592559E2,2.797595739E0,1.283472061E1,3.111197948E0
4.022792559E2,1.407225490E0,9.564942360E0,2.635786057E0
