"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.495394365E0,1.019272301E-2,1.989675453E-3,-1.886700839E-2
3.515395927E0,-1.710422686E-3,8.918632753E-3,-5.759586347E-4
3.535394365E0,-2.984513063E-3,1.261873078E-2,1.973967440E-2
3.555395927E0,1.221730490E-4,1.123992074E-2,3.188716620E-2
3.575394365E0,7.278022822E-3,5.235987715E-3,2.605776489E-2
3.595394365E0,1.026253588E-2,7.714355364E-3,8.709193207E-3
3.615397490E0,7.365289610E-3,1.104793418E-2,-5.689773243E-3
3.635394365E0,4.258603323E-3,1.368338149E-2,-6.806783844E-3
3.655394365E0,4.171337001E-3,1.204277202E-2,6.632251316E-4
3.675394365E0,7.295476273E-3,9.651671164E-3,1.073377486E-2
3.695395927E0,7.487462368E-3,1.951278187E-2,1.881464943E-2
3.715395927E0,2.530727303E-3,1.685987972E-2,2.043780498E-2
3.735394365E0,4.886921961E-4,1.103048120E-2,1.876228862E-2
3.755395927E0,1.064650831E-3,8.901178837E-3,8.464846760E-3
3.775395927E0,3.560471581E-3,3.228859045E-3,-4.520402756E-3
3.795394365E0,5.864306353E-3,-9.250245057E-4,-1.312487572E-2
3.815395927E0,5.026548170E-3,-1.675516134E-3,-1.293289009E-2
3.835395927E0,4.904375412E-3,-6.632251316E-4,-9.407324716E-3
3.855394365E0,-2.443460980E-4,6.981316837E-4,-2.792526735E-3
3.875394365E0,-2.722713631E-3,-9.773843922E-4,2.670353744E-3
3.895394365E0,3.351032268E-3,-5.672320258E-3,9.477137588E-3
3.915397490E0,8.150687441E-3,-6.736970972E-3,1.488765888E-2
3.935394365E0,2.827433404E-3,-1.483529806E-3,1.298524998E-2
3.955395927E0,-2.722713631E-3,-1.047197584E-4,9.075712296E-4
3.975395927E0,-5.532693584E-3,-3.665191354E-3,-1.569050923E-2
3.995394365E0,-2.268928103E-3,-4.747295752E-3,-2.846631967E-2
4.015395927E0,-1.832595677E-3,-7.068583276E-3,-3.054326214E-2
4.035394365E0,-1.745329246E-5,-3.106686054E-3,-2.527236752E-2
4.055395927E0,-6.457717973E-4,-7.016223390E-3,-1.258382387E-2
4.075394365E0,-6.841690745E-3,-1.139700040E-2,1.553343027E-3
4.095394365E0,-9.948376566E-3,-1.534144394E-2,1.261873078E-2
4.115397490E0,-1.151917269E-3,-1.071632188E-2,1.336922217E-2
4.135394365E0,7.784168236E-3,-2.914699726E-3,1.391027402E-2
4.155394365E0,5.724680144E-3,-2.949606394E-3,1.148426626E-2
4.175394365E0,-1.570796303E-4,-1.832595677E-3,3.333578818E-3
4.195395927E0,-2.879793290E-3,1.588249579E-3,-5.567600485E-3
4.215395927E0,3.141592722E-3,1.274090377E-3,-1.193805225E-2
4.235394365E0,8.552113548E-3,6.981316983E-5,-1.340412907E-2
4.255395927E0,8.639379404E-3,-1.221730490E-3,-1.680752076E-2
