"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.753915927E0,3.967575133E-1,2.306305647E0,9.145708084E0
4.773915927E0,2.336166203E-1,2.392784119E0,9.151922226E0
4.793914365E0,1.758014411E-1,2.429013252E0,9.127490997E0
4.813914365E0,3.081720471E-1,2.359092951E0,9.068259239E0
4.833915927E0,5.119569302E-1,2.291854382E0,9.129876137E0
4.853914365E0,6.767929196E-1,2.244458675E0,9.166421890E0
4.873914365E0,7.057340145E-1,2.233129263E0,9.200200081E0
4.893914365E0,6.308050752E-1,2.271963358E0,9.142622948E0
4.913917490E0,5.028014779E-1,2.298242092E0,9.072531700E0
4.933914365E0,4.134019911E-1,2.318018198E0,9.058796883E0
4.953915927E0,3.335697353E-1,2.324549437E0,9.123392105E0
4.973915927E0,2.530766726E-1,2.345110893E0,9.166679382E0
4.993914365E0,2.991219759E-1,2.352264881E0,9.194443703E0
5.013915927E0,3.790212572E-1,2.325622082E0,9.190173149E0
5.033914365E0,4.699626267E-1,2.325966835E0,9.143485069E0
5.053915927E0,5.318479538E-1,2.304486036E0,9.102017403E0
5.073915927E0,5.737656355E-1,2.288454533E0,9.083466530E0
5.093914365E0,5.702221990E-1,2.303298473E0,9.091386795E0
5.113917490E0,5.359755754E-1,2.290274143E0,9.140019417E0
5.133914365E0,5.075228810E-1,2.291787148E0,9.168853760E0
5.153915927E0,4.614775777E-1,2.289881468E0,9.180001259E0
5.173914365E0,4.254496098E-1,2.303633690E0,9.168757439E0
5.193915927E0,4.081060290E-1,2.308067799E0,9.125107765E0
5.213915927E0,3.802758157E-1,2.307703972E0,9.109019279E0
5.233914365E0,4.116590321E-1,2.315192938E0,9.131648064E0
5.253915927E0,4.395371079E-1,2.317778587E0,9.149317741E0
5.273915927E0,4.759576917E-1,2.306497097E0,9.166920662E0
5.293914365E0,5.038262010E-1,2.286548615E0,9.157907486E0
5.313915927E0,5.025429130E-1,2.288195848E0,9.151672363E0
5.333915927E0,4.860229194E-1,2.272509098E0,9.126073837E0
5.353914365E0,4.605965018E-1,2.301747084E0,9.135842323E0
5.373914365E0,4.359074831E-1,2.310787678E0,9.157265663E0
5.393914365E0,4.162750542E-1,2.320555925E0,9.155858040E0
5.413917490E0,4.063917696E-1,2.311831474E0,9.149566650E0
5.433914365E0,4.182191491E-1,2.296087265E0,9.131427765E0
5.453915927E0,4.408395588E-1,2.318889618E0,9.125815392E0
5.473917490E0,4.282173216E-1,2.332038641E0,9.138609886E0
5.493914365E0,4.342698753E-1,2.312070847E0,9.140910149E0
5.513915927E0,4.472081363E-1,2.305089474E0,9.151519775E0
5.533914365E0,4.550611079E-1,2.275152206E0,9.168193817E0
5.553915927E0,4.984727800E-1,2.258670568E0,9.171449661E0
5.573914365E0,5.168602467E-1,2.269262552E0,9.152841568E0
5.593914365E0,4.985876977E-1,2.265450954E0,9.141176224E0
5.613917490E0,4.650305510E-1,2.281722069E0,9.135105133E0
5.633914365E0,4.401883185E-1,2.306142807E0,9.121170998E0
5.653914365E0,4.432720542E-1,2.309370279E0,9.119772911E0
5.673914365E0,4.116494358E-1,2.327518225E0,9.144145012E0
