"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.435810422E0,-4.727224410E-1,-8.077558279E-1,2.548180707E-2
2.455811985E0,-4.160690308E-1,-6.294530034E-1,-1.769763790E-2
2.475810422E0,-3.870791197E-1,-2.165604532E-1,-1.110902056E-1
2.495808860E0,-4.016526341E-1,7.965682447E-2,-2.335425019E-1
2.515811985E0,-3.044726849E-1,2.062106431E-1,-3.240552843E-1
2.535810422E0,-1.225570217E-1,4.297175109E-1,-2.808409333E-1
2.555810422E0,-4.134684801E-2,7.268074751E-1,-1.472359747E-1
2.575810422E0,-1.640609466E-2,1.034875512E0,-9.412560612E-2
2.595811985E0,5.131267942E-3,1.105002880E0,-1.302539259E-1
2.615810422E0,5.934119690E-4,9.325468540E-1,-1.326624751E-1
2.635810422E0,1.449321359E-1,9.563182592E-1,-6.963863969E-2
2.655811985E0,2.045176774E-1,1.020703435E0,5.689773243E-3
2.675811985E0,1.755277663E-1,8.402538300E-1,-8.831365965E-3
2.695810422E0,1.480737329E-1,5.517334938E-1,-8.703956753E-2
2.715810422E0,4.183554277E-2,3.209834993E-1,-1.334304214E-1
2.735811985E0,-5.021312088E-2,2.875081003E-1,-1.450892240E-1
2.755810422E0,-8.379326016E-2,4.053352773E-1,-1.484227926E-1
2.775810422E0,-6.667158008E-2,4.503996670E-1,-7.169812173E-2
2.795810422E0,-3.659955412E-2,3.085218370E-1,5.248204991E-2
2.815811985E0,-6.791076064E-2,1.190140024E-1,1.051560864E-1
2.835810422E0,-1.620014608E-1,3.490658477E-2,8.965755999E-2
2.855810422E0,-1.867851317E-1,1.068839654E-1,4.534365237E-2
2.875811985E0,-1.617920250E-1,2.385516018E-1,1.249655709E-2
2.895810422E0,-1.167974323E-1,2.180090696E-1,4.274311289E-2
2.915810422E0,-1.296081543E-1,8.321730047E-2,7.405432314E-2
2.935810422E0,-1.745852828E-1,-1.115265414E-1,1.113694608E-1
2.955811985E0,-2.179218084E-1,-2.964267135E-1,1.357691586E-1
2.975810422E0,-2.775771618E-1,-4.241499007E-1,1.263443828E-1
2.995808860E0,-3.490309417E-1,-5.624846816E-1,1.089434549E-1
3.015811985E0,-4.149171114E-1,-7.517831326E-1,8.998917788E-2
3.035810422E0,-5.217137933E-1,-9.272236228E-1,3.469714522E-2
3.055810422E0,-5.988399386E-1,-1.138041973E0,1.380555425E-2
3.075810422E0,-6.163804531E-1,-1.296570182E0,2.679080330E-2
3.095811985E0,-5.958030224E-1,-1.303708553E0,3.127630055E-2
3.115852610E0,-5.599889159E-1,-1.250580788E0,-1.830850355E-2
3.135810422E0,-5.481206775E-1,-1.257422447E0,-8.888962120E-2
3.155810422E0,-5.313829184E-1,-1.173768878E0,-1.422792375E-1
3.175811985E0,-4.980820715E-1,-1.071597219E0,-1.761037260E-1
3.195810422E0,-4.153360128E-1,-9.467887282E-1,-1.795594692E-1
3.215810422E0,-3.577401340E-1,-8.304974437E-1,-1.972920150E-1
3.235811985E0,-3.054326177E-1,-8.316493630E-1,-2.222502232E-1
3.255810422E0,-2.756398618E-1,-9.058607817E-1,-2.297900468E-1
3.275810422E0,-3.133215010E-1,-9.596343637E-1,-2.248333097E-1
3.295810422E0,-3.135483861E-1,-1.027213573E0,-1.844638437E-1
3.315811985E0,-3.570943773E-1,-1.031594276E0,-1.430995464E-1
3.335810422E0,-3.772354722E-1,-1.192967415E0,-1.394343525E-1
3.355810422E0,-3.294658065E-1,-1.425061345E0,-1.333082467E-1
3.375811985E0,-3.609340787E-1,-1.429930806E0,-1.165007278E-1
3.395810422E0,-4.336445034E-1,-1.382457852E0,-9.098401666E-2
3.415810422E0,-4.565781355E-1,-1.363625765E0,-1.071806699E-1
3.435810422E0,-4.390201271E-1,-1.297547579E0,-1.084024012E-1
3.455811985E0,-4.051432908E-1,-1.148252130E0,-8.543386310E-2
3.475810422E0,-3.444232643E-1,-1.014088631E0,-8.948303014E-2
3.495808860E0,-3.575306833E-1,-9.691289663E-1,-7.255333662E-2
3.515811985E0,-4.828628004E-1,-1.091668487E0,-9.293878078E-2
3.535810422E0,-6.404834986E-1,-1.243494749E0,-1.878672391E-1
3.555810422E0,-6.965957880E-1,-1.377204418E0,-2.918713987E-1
3.575810422E0,-6.231174469E-1,-1.333134890E0,-3.031811416E-1
3.595811985E0,-5.191133022E-1,-1.234837890E0,-2.349038571E-1
3.615810422E0,-5.407902598E-1,-9.850114584E-1,-1.137954667E-1
3.635810422E0,-5.590289831E-1,-9.015498161E-1,4.028219730E-2
3.655810422E0,-4.740488827E-1,-8.770803213E-1,1.556659192E-1
3.675811985E0,-3.528357744E-1,-8.278445601E-1,1.600815952E-1
3.695810422E0,-3.113318384E-1,-9.414654970E-1,8.377580671E-4
3.715810422E0,-2.635447085E-1,-1.076885581E0,-2.220931500E-1
3.735811985E0,-1.468345523E-1,-1.020249605E0,-3.045425117E-1
3.755810422E0,-6.330309063E-2,-9.194568992E-1,-3.264638484E-1
3.775810422E0,4.139921069E-2,-1.034561396E0,-1.608146429E-1
3.795810422E0,3.907792270E-2,-9.847671390E-1,6.181956083E-2
3.815811985E0,2.068913281E-1,-1.103781104E0,1.767145842E-1
3.835810422E0,2.745752037E-1,-9.729337692E-1,2.426007688E-1
3.855810422E0,1.082453206E-1,-6.683912873E-1,1.707106531E-1
3.875811985E0,1.315978263E-2,-7.150090337E-1,2.947861142E-2
3.895810422E0,-1.155757010E-1,-6.975033879E-1,-8.632398397E-2
3.915810422E0,-1.336747706E-1,-8.831540346E-1,-8.089601249E-2
3.935810422E0,-2.823244631E-1,-9.770876765E-1,-7.908086479E-2
3.955811985E0,-2.516764700E-1,-1.128617167E0,-1.780410409E-1
3.975810422E0,-2.351656556E-1,-9.394409060E-1,-2.937563658E-1
3.995808860E0,-2.639461458E-1,-8.718094230E-1,-4.475198686E-1
4.015811985E0,-2.918888628E-1,-1.017020822E0,-4.752531648E-1
4.035811985E0,-3.045425117E-1,-1.206790447E0,-3.395712674E-1
4.055810422E0,-3.266732693E-1,-1.374726057E0,-9.093165398E-2
4.075810422E0,-4.343251884E-1,-1.489062548E0,1.310742199E-1
4.095811985E0,-5.124810338E-1,-1.345299840E0,2.049540132E-1
4.115810422E0,-5.303706527E-1,-1.103676438E0,2.261074036E-1
4.135810422E0,-4.940677881E-1,-9.665982723E-1,1.160643920E-1
4.155810422E0,-5.231973529E-1,-9.495114684E-1,-1.479864717E-1
4.175811985E0,-5.819975138E-1,-9.708045125E-1,-3.852988780E-1
4.195810422E0,-6.377258301E-1,-1.134900331E0,-4.756545722E-1
4.215810422E0,-7.450985312E-1,-1.522328496E0,-4.624773562E-1
4.235811985E0,-9.203295708E-1,-1.942673683E0,-3.529579341E-1
4.255810422E0,-9.735795856E-1,-2.240950346E0,-1.474803239E-1
4.275810422E0,-8.940798044E-1,-2.240793228E0,4.016002640E-2
4.295810422E0,-7.896044254E-1,-1.908308148E0,1.208640486E-1
4.315811985E0,-6.128898263E-1,-1.337079287E0,9.250245243E-2
4.335810422E0,-4.376063943E-1,-7.799178362E-1,5.375613924E-3
4.355810422E0,-3.613529801E-1,-6.050533056E-1,-5.550146848E-2
4.375811985E0,-3.425557613E-1,-6.742556095E-1,2.300344035E-2
4.395810422E0,-3.891735077E-1,-6.954089999E-1,1.069886833E-1
4.415810422E0,-4.756196737E-1,-7.340156436E-1,1.094146892E-1
4.435810422E0,-5.351877809E-1,-9.373115897E-1,9.339256585E-2
4.455811985E0,-5.466371179E-1,-1.152510762E0,6.544984877E-2
4.475810422E0,-5.538802147E-1,-1.273549318E0,-2.474876866E-2
4.495808860E0,-5.176995397E-1,-1.292800307E0,-1.171290427E-1
4.515811985E0,-4.490208626E-1,-1.244419694E0,-3.855432197E-2
4.535819797E0,-3.558551669E-1,-1.017945886E0,2.282017916E-1
4.555810422E0,-2.409078032E-1,-5.188863873E-1,4.827406108E-1
4.575810422E0,-9.784315526E-2,9.456194192E-2,5.282413363E-1
4.595811985E0,-4.949753731E-2,3.389254808E-1,3.821572959E-1
4.615810422E0,-5.754350498E-2,1.831723005E-1,1.313709319E-1
4.635810422E0,-3.885103017E-2,1.511455141E-2,-2.201034725E-1
4.655810422E0,-6.606071442E-2,9.419541806E-2,-5.539674759E-1
4.675811985E0,-3.529055789E-2,-5.089380220E-2,-7.895869613E-1
4.695810422E0,6.106907129E-2,-3.024306595E-1,-9.799150825E-1
4.715810422E0,1.566083878E-1,-4.231899679E-1,-1.036481261E0
4.735811985E0,2.631607354E-1,-5.572836399E-1,-8.203396797E-1
4.755810422E0,1.776396036E-1,-6.648133397E-1,-2.869495749E-1
4.775810422E0,-2.302089334E-1,-6.914820075E-1,8.463101834E-2
4.795810422E0,-6.940476298E-1,-1.068350911E0,-1.051735431E-1
4.815811985E0,-8.161857724E-1,-1.208780169E0,-3.117856085E-1
4.835810422E0,-5.930803418E-1,-6.291038990E-1,-1.192932576E-1
4.855810422E0,-1.159596741E-1,-1.311440468E-1,1.218588874E-1
4.875811985E0,2.384817898E-1,-5.473352596E-2,1.573937982E-1
4.895810422E0,2.515543103E-1,4.693190381E-2,4.890412465E-2
4.915810422E0,1.556659192E-1,-1.661378890E-1,-8.377580345E-2
4.935810422E0,1.261873078E-2,-5.006127954E-1,-1.040739864E-1
4.955811985E0,-1.155931577E-1,-4.041833580E-1,4.099778458E-2
4.975810422E0,1.565560326E-2,-1.544790864E-1,2.253918201E-1
4.995808860E0,1.841322333E-1,-7.140141726E-2,3.159220517E-1
5.015811985E0,-3.857177682E-3,-9.756390937E-3,2.801253498E-1
5.035811985E0,-2.966535985E-1,-1.070934013E-1,1.162563786E-1
5.055810422E0,-2.206096202E-1,-8.765043318E-2,2.647664398E-2
5.075810422E0,-3.281218931E-3,1.546361744E-1,5.747369304E-2
5.095811985E0,1.283515096E-1,1.238834709E-1,7.724827528E-2
5.115810422E0,1.510233432E-1,-6.522295624E-2,7.204718888E-2
5.135810422E0,1.296256036E-1,-1.119454205E-1,1.904154196E-2
5.155810422E0,1.018748656E-1,-9.379399568E-2,-4.834562168E-2
5.175811985E0,5.440191180E-2,1.221730490E-3,-5.318018049E-2
5.195810422E0,5.785766616E-2,6.077236310E-2,-2.083923109E-2
5.215810422E0,7.215191424E-2,1.314232945E-1,5.759586580E-3
5.235811985E0,1.023810133E-1,1.654572189E-1,2.408554312E-3
5.255810422E0,1.279326379E-1,1.554390192E-1,-3.179989755E-2
5.275810422E0,1.267981678E-1,1.503601074E-1,-7.295475900E-2
5.295810422E0,1.435707808E-1,1.269377917E-1,-1.119454205E-1
5.315811985E0,1.488067657E-1,1.221904978E-1,-1.440071166E-1
5.335810422E0,1.297826767E-1,3.296926990E-2,-1.587551534E-1
5.355810422E0,7.745771110E-2,-6.138322875E-2,-1.389980167E-1
5.375811985E0,3.277728334E-2,-1.088212803E-1,-1.200437471E-1
5.395810422E0,9.512044489E-3,-7.087782025E-2,-1.019272283E-1
5.415810422E0,-6.178465672E-3,-5.096361507E-3,-7.916813344E-2
5.435810422E0,-3.146828711E-2,3.801327199E-2,-4.169591516E-2
5.455811985E0,-4.925319180E-2,1.965240762E-2,-1.047197497E-3
5.475810422E0,-5.277875811E-2,7.169812173E-2,3.040363453E-2
5.495808860E0,-4.139921069E-2,1.690176874E-1,3.874630854E-2
5.515811985E0,-2.792526782E-2,2.060884833E-1,4.763003439E-2
5.535811985E0,-2.225294709E-2,1.727352291E-1,7.316420227E-2
5.555810422E0,-2.637192421E-2,1.756673902E-1,9.374163300E-2
5.575810422E0,-2.752384171E-2,2.673320770E-1,8.587019891E-2
5.595811985E0,6.702064537E-3,2.466848344E-1,8.480554819E-2
5.615810422E0,5.091125518E-2,1.465029418E-1,9.070476145E-2
5.635810422E0,6.766641140E-2,8.906415105E-2,8.143706620E-2
5.655810422E0,2.330014482E-2,4.761258140E-2,4.303981736E-2
5.675811985E0,8.534659632E-3,2.164208330E-2,1.998401992E-2
