"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.878143304E2,2.630356073E0,9.384810448E0,5.488755107E-1
3.878343304E2,2.611470699E0,9.391918182E0,5.397105217E-1
3.878543320E2,2.598034382E0,9.403887749E0,5.593621135E-1
3.878743304E2,2.601845980E0,9.394578934E0,5.473240614E-1
3.878943304E2,2.609267950E0,9.401866913E0,5.378238559E-1
3.879143320E2,2.606270313E0,9.397834778E0,5.588162541E-1
3.879343320E2,2.610033989E0,9.403677940E0,5.581266880E-1
3.879543304E2,2.598675966E0,9.418139458E0,5.445563793E-1
3.879743304E2,2.617714643E0,9.412573814E0,5.458109379E-1
3.879943304E2,2.609804153E0,9.397787094E0,5.528402925E-1
3.880143304E2,2.581160069E0,9.414911270E0,5.537213683E-1
3.880343304E2,2.596118927E0,9.426011086E0,5.477262735E-1
3.880543289E2,2.634799719E0,9.427417755E0,5.273372531E-1
3.880743320E2,2.636801243E0,9.395402908E0,5.460886359E-1
3.880943304E2,2.610560894E0,9.336533546E0,5.533286929E-1
3.881143304E2,2.648666859E0,9.363512039E0,5.312350392E-1
3.881343320E2,2.619649172E0,9.416213036E0,5.423824191E-1
3.881543304E2,2.619285345E0,9.424487114E0,5.456672907E-1
3.881743304E2,2.619084120E0,9.420733452E0,5.449011326E-1
3.881943304E2,2.588984251E0,9.405554771E0,5.359276533E-1
3.882143320E2,2.605207443E0,9.399119377E0,5.453704000E-1
3.882343304E2,2.621219873E0,9.403389931E0,5.565657020E-1
3.882543304E2,2.615703583E0,9.385596275E0,5.577723384E-1
3.882743320E2,2.619840622E0,9.385663033E0,5.491532087E-1
3.882943304E2,2.622340202E0,9.417984962E0,5.307561755E-1
3.883143304E2,2.588840723E0,9.444532394E0,5.505514741E-1
3.883343304E2,2.583860636E0,9.396101952E0,5.593237877E-1
3.883543320E2,2.620290756E0,9.368501663E0,5.357169509E-1
3.883743304E2,2.635642529E0,9.388049126E0,5.414247513E-1
3.883943304E2,2.643629551E0,9.420905113E0,5.668511987E-1
3.884143320E2,2.614468098E0,9.389627457E0,5.472187400E-1
3.884343320E2,2.628622770E0,9.389714241E0,5.489233732E-1
3.884543304E2,2.634655952E0,9.396656990E0,5.443360806E-1
3.884743304E2,2.641436338E0,9.381564140E0,5.498044491E-1
3.884943304E2,2.613826513E0,9.401618004E0,5.407447815E-1
3.885143304E2,2.610369205E0,9.395833969E0,5.508770347E-1
3.885343304E2,2.608702898E0,9.392261505E0,5.373354554E-1
3.885543304E2,2.608913660E0,9.410391808E0,5.416067243E-1
3.885743320E2,2.587375402E0,9.418310165E0,5.463376641E-1
3.885943304E2,2.596655369E0,9.424736023E0,5.272510648E-1
3.886143304E2,2.588668346E0,9.403974533E0,5.520166755E-1
3.886343320E2,2.600419044E0,9.383718491E0,5.674832463E-1
3.886543304E2,2.611710072E0,9.390989304E0,5.505322814E-1
3.886743304E2,2.618126392E0,9.407162666E0,5.289653540E-1
3.886943304E2,2.632999182E0,9.417190552E0,5.375556946E-1
3.887143320E2,2.619036198E0,9.392213821E0,5.427367687E-1
